tournament,gender,match_count,avg_goals
EAFF E-1 Championship qualification,F,12,8.58
East Asian Games,M,17,7.24
Inter-Allied Games,M,13,6.69
OFC Championship,F,78,6.46
CONCACAF Pre-Olympic Tournament qualification,F,12,6.33
South Pacific Games,M,205,5.91
OFC Olympic Qualifying Tournament,F,30,5.80
GaNEFo,M,14,5.79
Central American and Caribbean Games,M,63,5.59
Pacific Games,M,75,5.57
CONCACAF Olympic Qualifying Tournament qualification,F,104,5.50
CONCACAF Championship qualification,F,124,5.43
AFC Championship,F,253,5.30
AFF Championship,F,176,5.28
Arab Cup,F,12,5.25
Arab Championship,F,13,5.23
AFC Asian Cup qualification,F,141,5.16
CONCACAF Championship,F,90,5.10
SAFF Championship,F,90,5.08
CONCACAF Pre-Olympic Tournament,F,16,5.06
CAFA Championship,F,20,5.00
Central American Games,F,33,5.00
Olympic Games,M,78,4.96
CONCACAF Olympic Qualifying Tournament,F,55,4.95
Asian Games,F,156,4.94
EAFF Championship,F,34,4.88
CONCACAF Gold Cup,F,54,4.87
WAFF Championship,F,79,4.85
Island Games,F,153,4.82
Pacific Mini Games,M,15,4.80
OFC Nations Cup,F,33,4.76
Viva World Cup,M,60,4.70
Inter Games Football Tournament,M,19,4.68
EAFF East Asian Cup,F,30,4.67
South Pacific Mini Games,M,39,4.67
U.S. Cup,F,43,4.56
Copa América,F,156,4.47
AFC Olympic Qualifying Tournament,F,188,4.47
Far Eastern Championship Games,M,30,4.47
CCCF Championship,M,123,4.46
CONCACAF Gold Cup qualification,F,206,4.46
African Friendship Games,M,55,4.36
Muratti Vase,M,220,4.35
Copa Roca,M,23,4.35
CECAFA Championship,F,55,4.29
Coupe de l'Outre-Mer,M,42,4.29
Kuneitra Cup,M,15,4.27
Oceania Nations Cup qualification,M,61,4.25
CONIFA World Football Cup,M,101,4.20
Central European International Cup,M,126,4.19
Bolivarian Games,M,12,4.17
Balkan Cup,M,87,4.14
Oceania Nations Cup,M,141,4.11
FIFA World Cup qualification,F,829,4.11
WAFU Zone B Cup,F,32,4.06
World Cup,F,19,4.00
Tournament of Nations,F,12,4.00
Island Games,M,379,3.97
CONCACAF Nations League qualification,M,68,3.87
Nordic Championship,M,283,3.84
EAFF Championship,M,128,3.84
EAFF E-1 Championship,F,39,3.82
ELF Cup,M,16,3.81
COSAFA Championship,F,179,3.78
African Championship qualification,F,188,3.78
Copa Oswaldo Cruz,M,16,3.75
AFC Asian Cup,F,111,3.75
South Asian Games,F,28,3.71
ABCS Tournament,M,20,3.70
UEFA Euro qualification,F,1636,3.69
Copa Chevallier Boutell,M,29,3.69
Southeast Asian Games,F,141,3.69
Pan American Championship,M,39,3.64
Pacific Games,F,117,3.64
Copa Rio Branco,M,18,3.56
International Tournament,F,74,3.55
African Championship,F,157,3.54
British Home Championship,M,523,3.52
AFF Championship qualification,M,62,3.52
CFU Caribbean Cup qualification,M,606,3.51
ASEAN Championship,M,26,3.50
Cup of Nations,F,12,3.50
Central American and Caribbean Games,F,60,3.48
Gold Cup qualification,M,88,3.48
Pan American Games,F,99,3.44
AFF Championship,M,291,3.42
Chunghua Cup,F,26,3.35
Southeast Asian Peninsular Games,M,67,3.33
Asian Games,M,368,3.32
Palestine Cup,M,58,3.31
African Cup of Nations qualification,F,120,3.30
AFC Asian Cup qualification,M,794,3.28
Merdeka Tournament,M,599,3.27
Windward Islands Tournament,M,101,3.25
Southeast Asian Games,M,182,3.24
Vietnam Independence Cup,M,60,3.23
Turkish Women's Cup,F,67,3.19
Friendly,F,1060,3.19
Copa Carlos Dittborn,M,16,3.19
CONCACAF Nations League,M,422,3.19
CONIFA European Football Cup,M,49,3.18
Copa Newton,M,26,3.15
Copa América,M,869,3.14
Baltic Cup,F,75,3.12
Pink Ladies Cup,F,17,3.12
Jordan International Tournament,M,17,3.12
FIFA Women's Invitation Tournament,F,26,3.12
All-African Games,M,70,3.11
FIFA World Cup,F,348,3.11
Indonesia Tournament,M,75,3.08
Arab Cup,M,144,3.08
Korea Cup,M,155,3.07
Intercontinental Cup,M,17,3.06
WAFU Zone A Cup,F,45,3.04
AFC Challenge Cup qualification,M,92,3.04
Confederations Cup,M,140,3.02
Arab Cup qualification,M,24,3.00
Africa Cup of Nations qualification,F,28,3.00
African Games,F,36,3.00
AFC Olympic qualification,F,41,2.98
Brazil Independence Cup,M,37,2.97
Australian Cup,F,28,2.96
UEFA Nations League,F,318,2.96
King's Cup,M,245,2.93
Aphrodite Cup,F,41,2.93
Mundialito,F,38,2.92
Olympic Games,F,182,2.91
CFU Caribbean Cup,M,251,2.88
FIFA World Cup qualification,M,8419,2.88
Friendly,M,18116,2.88
Yongchuan International Tournament,F,32,2.88
Indian Ocean Island Games,M,110,2.87
Lunar New Year Cup,M,25,2.84
Cyprus Cup,F,260,2.83
FIFA Series,M,24,2.83
Miami Cup,M,12,2.83
Copa Premio Honor Argentino,M,12,2.83
UEFA Euro qualification,M,2824,2.83
FIFA World Cup,M,964,2.82
Gold Cup,M,389,2.82
Algarve Cup,F,552,2.82
Copa Premio Honor Uruguayo,M,15,2.80
UNIFFAC Cup,M,15,2.80
SAFF Cup,M,162,2.78
CONCACAF Championship qualification,M,151,2.77
Cyprus International Tournament,M,70,2.76
Arnold Clark Cup,F,12,2.75
Nordic Championship,F,41,2.73
USA Cup,M,37,2.73
UEFA Euro,F,184,2.73
Euro,F,20,2.70
King Hassan II Tournament,M,12,2.67
CONCACAF Championship,M,169,2.66
AFC Challenge Cup,M,100,2.66
AFC Asian Cup,M,421,2.66
Nehru Cup,M,89,2.65
Nile Basin Tournament,M,14,2.64
Kirin Challenge Cup,M,22,2.64
West African Cup,M,54,2.63
Copa Paz del Chaco,M,23,2.61
Merlion Cup,M,25,2.60
United Arab Emirates Friendship Tournament,M,31,2.58
Copa del Pacífico,M,19,2.58
Istria Cup,F,47,2.57
South Asian Games,M,68,2.57
Baltic Cup,M,102,2.57
African Cup of Nations,F,60,2.55
UNCAF Cup,M,164,2.55
UNIFFAC Cup,F,11,2.55
Atlantic Cup,M,11,2.55
Prime Minister's Cup,M,22,2.55
Dunhill Cup,M,15,2.53
Millennium Cup,M,15,2.53
CECAFA Cup,M,620,2.51
Gulf Cup,M,410,2.51
UEFA Nations League,M,658,2.51
CAF Olympic Qualifying Tournament,F,98,2.49
COSAFA Cup qualification,M,27,2.48
Tournoi de France,F,18,2.44
